competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Keneth KIPROP,5000-metres,male,UGA,805.15,No,9.4048715e-05,Yes,No,No,No
Dismas Lokira KORIR,5000-metres,male,KEN,805.16,No,0.00018411694,Yes,No,No,Unknown
Ishmael Rokitto KIPKURUI,5000-metres,male,KEN,805.18,No,9.4048715e-05,Yes,No,No,No
Simon Ngatha MUNGAI,5000-metres,male,KEN,805.19,No,2.944703e-05,Yes,No,No,Unknown
Loic SCOMPARIN,5000-metres,male,FRA,805.2,No,3.536131e-05,Yes,No,No,Yes
Efrem GIDEY,5000-metres,male,IRL,805.21,No,2.7568165e-05,Yes,No,No,Unknown
Justyn KNIGHT,5000-metres,male,CAN,805.28,No,6.204369e-05,Yes,No,No,No
Kotaro SHINOHARA,5000-metres,male,JPN,805.3,No,4.2065667e-06,Yes,No,No,Unknown
Drew BOSLEY,5000-metres,male,USA,805.37,No,2.944703e-05,Yes,No,No,No
Emil DANIELSSON,5000-metres,male,SWE,805.4,No,4.3988137e-05,Yes,No,No,No
Theo QUAX,5000-metres,male,NZL,805.42,No,2.944703e-05,Yes,No,No,Yes
Hazuma HATTORI,5000-metres,male,JPN,805.43,No,4.3904318e-05,Yes,No,No,Yes
James CORRIGAN,5000-metres,male,USA,805.46,No,1.5070985e-05,Yes,No,No,Unknown
Fouad MESSAOUDI,5000-metres,male,MAR,805.48,No,2.944703e-05,Yes,No,No,Unknown
Emmanuel Moi MARU,5000-metres,male,KEN,805.54,No,2.944703e-05,Yes,No,No,Yes
Rui SUZUKI,5000-metres,male,JPN,805.59,No,9.4048715e-05,Yes,No,No,Unknown
Rui SUZUKI,5000-metres,male,JPN,805.59,No,9.4048715e-05,Yes,No,No,Unknown
Brian FAY,5000-metres,male,IRL,805.63,No,0.00017237109,Yes,No,No,No
Collins KIPROTICH,5000-metres,male,KEN,805.64,No,9.4048715e-05,Yes,No,No,Unknown
Taishi ITO,5000-metres,male,JPN,805.65,No,4.2065667e-06,Yes,No,No,Unknown
Said MECHAAL,5000-metres,male,ESP,805.66,No,6.204369e-05,Yes,No,No,Unknown
Acer IVERSON,5000-metres,male,USA,805.68,No,2.944703e-05,Yes,No,No,Yes
Sebastiano PAROLINI,5000-metres,male,ITA,805.71,No,4.3904318e-05,Yes,No,No,Unknown
Baptiste GUYON,5000-metres,male,FRA,805.72,No,3.536131e-05,Yes,No,No,Unknown
Sam CLIFFORD,5000-metres,male,AUS,805.78,No,1.0707063e-05,Yes,No,No,Unknown
Valentin SOCA,5000-metres,male,URU,805.93,No,4.493266e-06,Yes,No,Yes,Unknown
Shunya KIKUCHI,5000-metres,male,JPN,805.97,No,0.00017237109,Yes,No,No,Unknown
Matt STRANGIO,5000-metres,male,USA,805.98,No,1.5070985e-05,Yes,No,No,Unknown
Raphael LONGISA,5000-metres,male,KEN,805.99,No,9.626001e-06,Yes,No,No,Unknown
Nibret KINDE,5000-metres,male,ETH,806.01,No,0.00019731293,Yes,No,No,Unknown
Nibret KINDE,5000-metres,male,ETH,806.01,No,0.00019731293,Yes,No,No,Unknown
Francesco GUERRA,5000-metres,male,ITA,806.09,No,2.7568165e-05,Yes,No,No,Unknown
Nicholas GRIGGS,5000-metres,male,IRL,806.16,No,9.4048715e-05,Yes,No,No,Unknown
Sondre Nordstad MOEN,5000-metres,male,NOR,806.2,No,4.3988137e-05,Yes,No,No,No
Masaya TSURUKAWA,5000-metres,male,JPN,806.23,No,4.2065667e-06,Yes,No,No,Unknown
Shunsuke YOSHII,5000-metres,male,JPN,806.31,No,4.2065667e-06,Yes,No,No,No
Sean MCGORTY,5000-metres,male,USA,806.37,No,4.3988137e-05,Yes,No,No,No
Evans Kipkemei KURUI,5000-metres,male,KEN,806.38,No,4.3988137e-05,Yes,No,No,Unknown
Jonas RAESS,5000-metres,male,SUI,806.4,No,4.3988137e-05,Yes,No,No,No
Cole HOCKER,5000-metres,male,USA,806.45,No,2.944703e-05,Yes,No,No,No
Cormac DALTON,5000-metres,male,IRL,806.48,No,0.00017237109,Yes,No,No,Yes
Darragh MCELHINNEY,5000-metres,male,IRL,806.48,No,2.7568165e-05,Yes,No,No,No
Johnathan RENIEWICKI,5000-metres,male,USA,806.54,No,4.3988137e-05,Yes,No,No,No
Rogers KIBET,5000-metres,male,UGA,806.55,No,4.493266e-06,Yes,No,No,No
Kiprono SITONIK,5000-metres,male,KEN,806.56,No,1.5070985e-05,Yes,No,No,No
Valentin SOCA,5000-metres,male,URU,806.58,No,4.493266e-06,Yes,No,Yes,Unknown
Dan KIBET,5000-metres,male,UGA,806.59,No,9.626001e-06,Yes,No,No,No
Ethan STRAND,5000-metres,male,USA,806.6,No,4.493266e-06,Yes,No,No,Unknown
Kenneth ROOKS,5000-metres,male,USA,806.65,No,2.944703e-05,Yes,No,No,Unknown
Stephen MUTHINI,5000-metres,male,KEN,806.7,No,9.4048715e-05,Yes,No,No,Unknown
Robin BERA,5000-metres,male,KEN,806.71,No,2.944703e-05,Yes,No,No,Unknown
Toby GILLEN,5000-metres,male,AUS,806.74,No,7.01673e-05,Yes,No,No,Unknown
Grant FISHER,5000-metres,male,USA,806.75,No,4.3988137e-05,Yes,No,No,No
Elie SINDAYIKENGDERA,5000-metres,male,BDI,806.77,No,2.4501056e-05,Yes,No,No,Unknown
Keita SATOH,5000-metres,male,JPN,806.77,No,9.626001e-06,Yes,No,No,No
Emmanuel Korir KIPLAGAT,5000-metres,male,KEN,806.82,No,1.5070985e-05,Yes,No,No,No
Ishmael Rokitto KIPKURUI,5000-metres,male,KEN,806.84,No,9.4048715e-05,Yes,No,No,No
Toby GILLEN,5000-metres,male,AUS,806.92,No,3.5912326e-05,Yes,No,No,Unknown
Jason CLAYTON,5000-metres,male,AUS,806.94,No,7.01673e-05,Yes,No,No,Unknown
Emile HAFASHIMANA,5000-metres,male,BDI,806.96,No,0.00019731293,Yes,No,No,Yes
Nico YOUNG,5000-metres,male,USA,807.05,No,1.5070985e-05,Yes,No,No,No
Carlos SAN MARTÍN,5000-metres,male,COL,807.11,No,6.204369e-05,Yes,No,No,Unknown
Dawit SEARE,5000-metres,male,ERI,807.15,No,0.00019731293,Yes,No,No,Unknown
Andrew HUNTER,5000-metres,male,USA,807.16,No,4.3988137e-05,Yes,No,No,No
Ethan COLEMAN,5000-metres,male,USA,807.18,No,9.4048715e-05,Yes,No,No,Unknown
Marco LANGON,5000-metres,male,USA,807.21,No,9.4048715e-05,Yes,No,No,Unknown
Luis GRIJALVA,5000-metres,male,GUA,807.24,No,0.00017237109,Yes,No,No,No
Yoann KOWAL,5000-metres,male,FRA,807.28,No,4.3904318e-05,Yes,No,No,Unknown
Jacob WHITE,5000-metres,male,USA,807.32,No,2.944703e-05,Yes,No,No,Unknown
Scott BEATTIE,5000-metres,male,GBR,807.33,No,0.00017237109,Yes,No,No,No
Eric VAN DER ELS,5000-metres,male,USA,807.33,No,4.3988137e-05,Yes,No,No,Unknown
James WEST,5000-metres,male,GBR,807.37,No,4.3904318e-05,Yes,No,No,No
James CORRIGAN,5000-metres,male,USA,807.39,No,4.493266e-06,Yes,No,No,Unknown
Dennis MUTUKU,5000-metres,male,KEN,807.43,No,9.4048715e-05,Yes,No,No,Unknown
James WEST,5000-metres,male,GBR,807.44,No,4.3904318e-05,Yes,No,No,No
Cooper TEARE,5000-metres,male,USA,807.56,No,2.944703e-05,Yes,No,No,No
Kasey KNEVELBAARD,5000-metres,male,USA,807.64,No,4.3988137e-05,Yes,No,No,No
Henrik INGEBRIGTSEN,5000-metres,male,NOR,807.67,No,4.3988137e-05,Yes,No,No,No
Patrick Kiptoo KIPROP,5000-metres,male,KEN,807.71,No,2.944703e-05,Yes,No,No,No
Evert SILVA,5000-metres,male,USA,807.76,No,2.944703e-05,Yes,No,No,Yes
Ernest CHERUIYOT,5000-metres,male,KEN,807.89,No,2.944703e-05,Yes,No,No,Unknown
Joey NOKES,5000-metres,male,USA,807.89,No,2.944703e-05,Yes,No,No,Yes
Emmanuel KIBET,5000-metres,male,UGA,807.91,No,9.4048715e-05,Yes,No,No,Unknown
Jude THOMAS,5000-metres,male,AUS,808.02,No,3.5912326e-05,Yes,No,No,Unknown
Dawit SEARE,5000-metres,male,ERI,808.03,No,0.00019731293,Yes,No,No,Unknown
Robin BERA,5000-metres,male,KEN,808.12,No,2.944703e-05,Yes,No,No,Unknown
Francesco GUERRA,5000-metres,male,ITA,808.12,No,1.4109371e-05,Yes,No,No,Unknown
Fouad MESSAOUDI,5000-metres,male,MAR,808.17,No,2.944703e-05,Yes,No,No,Unknown
Muluken TEWALT,5000-metres,male,USA,808.18,No,4.493266e-06,Yes,No,No,Unknown
Parker WOLFE,5000-metres,male,USA,808.2,No,4.493266e-06,Yes,No,No,No
Thomas RATCLIFFE,5000-metres,male,USA,808.22,No,4.3988137e-05,Yes,No,No,No
Brian KIPTOO,5000-metres,male,KEN,808.22,No,2.944703e-05,Yes,No,No,Unknown
Titouan LE GRIX,5000-metres,male,FRA,808.23,No,5.395741e-06,Yes,No,No,Unknown
Ishmael Rokitto KIPKURUI,5000-metres,male,KEN,808.25,No,9.4048715e-05,Yes,No,No,No
Ryuji MIURA,5000-metres,male,JPN,808.28,No,1.4109371e-05,Yes,No,No,No
Cormac DALTON,5000-metres,male,IRL,808.29,No,0.00017237109,Yes,No,No,No
Vincent YEGON,5000-metres,male,KEN,808.3,No,2.944703e-05,Yes,No,No,Unknown
Toby GILLEN,5000-metres,male,AUS,808.34,No,3.5912326e-05,Yes,No,No,Unknown
Will BARNICOAT,5000-metres,male,GBR,808.4,No,5.395741e-06,Yes,No,No,Unknown
Nanami ARAI,5000-metres,male,JPN,808.42,No,4.3904318e-05,Yes,No,No,Unknown
David MULLARKEY,5000-metres,male,GBR,808.43,No,3.536131e-05,Yes,No,No,Unknown
Yamato YOSHII,5000-metres,male,JPN,808.43,No,1.4109371e-05,Yes,No,No,No
Isaac HEYNE,5000-metres,male,AUS,808.55,No,7.01673e-05,Yes,No,No,Unknown
Bailey HABLER,5000-metres,male,AUS,808.55,No,0.00019731293,Yes,No,No,Unknown
Ernest CHERUIYOT,5000-metres,male,KEN,808.58,No,2.944703e-05,Yes,No,No,Unknown
Adriaan WILDSCHUTT,5000-metres,male,RSA,808.67,No,4.3988137e-05,Yes,No,No,No
Jacob KROP,5000-metres,male,KEN,808.73,No,2.944703e-05,Yes,No,No,No
Hyuga ENDO,5000-metres,male,JPN,808.75,No,0.00017237109,Yes,No,No,No
Festus KIMORWA,5000-metres,male,KEN,808.77,No,9.4048715e-05,Yes,No,No,Unknown
Festus KIMORWA,5000-metres,male,KEN,808.77,No,9.4048715e-05,Yes,No,No,Unknown
Guillaume GRIMARD,5000-metres,male,BEL,808.81,No,0.0002346684,Yes,No,No,Unknown
Ryan SCHOPPE,5000-metres,male,USA,808.88,No,2.944703e-05,Yes,No,No,Unknown
Jonas RAESS,5000-metres,male,SUI,808.89,No,4.3988137e-05,Yes,No,No,No
Edwin KIPSAISAK,5000-metres,male,KEN,808.89,No,9.4048715e-05,Yes,No,No,No
Festus KIMORWA,5000-metres,male,KEN,809.0,No,9.4048715e-05,Yes,No,No,Unknown
Festus KIMORWA,5000-metres,male,KEN,809.0,No,9.4048715e-05,Yes,No,No,Unknown
Andrew Kiptoo ALAMISI,5000-metres,male,KEN,809.07,No,9.4048715e-05,Yes,No,No,Unknown
Andrew Kiptoo ALAMISI,5000-metres,male,KEN,809.07,No,9.4048715e-05,Yes,No,No,Unknown
Philip SESEMANN,5000-metres,male,GBR,809.1,No,4.3904318e-05,Yes,No,No,Unknown
Yuki ISHII,5000-metres,male,JPN,809.19,No,4.3904318e-05,Yes,No,No,Unknown
Creed THOMPSON,5000-metres,male,USA,809.22,No,4.493266e-06,Yes,No,No,Unknown
Shadrack KIPCHIRCHIR,5000-metres,male,KEN,809.32,No,2.944703e-05,Yes,No,No,No
Jonathan GRAHN,5000-metres,male,SWE,809.38,No,9.4048715e-05,Yes,No,No,Unknown
José Carlos PINTO,5000-metres,male,POR,809.38,No,4.3988137e-05,Yes,No,No,Unknown
Nagiya MORI,5000-metres,male,JPN,809.44,No,0.00017237109,Yes,No,No,No
Dan KIPLANGAT,5000-metres,male,KEN,809.51,No,4.3988137e-05,Yes,No,No,No
David MULLARKEY,5000-metres,male,GBR,809.55,No,3.536131e-05,Yes,No,No,Unknown
Skylar STIDAM,5000-metres,male,USA,809.56,No,2.944703e-05,Yes,No,No,Unknown
Jackson SHARP,5000-metres,male,AUS,809.58,No,7.01673e-05,Yes,No,No,No
Felix Kiptarus KORIR,5000-metres,male,KEN,809.58,No,9.626001e-06,Yes,No,No,No
Casey CLINGER,5000-metres,male,USA,809.61,No,0.00018411694,Yes,No,No,No
Duarte GOMES,5000-metres,male,POR,809.75,No,2.944703e-05,Yes,No,No,Unknown
Shadrack RONO,5000-metres,male,KEN,809.77,No,4.493266e-06,Yes,No,No,No
Valentin GONDOUIN,5000-metres,male,FRA,809.79,No,0.00017237109,Yes,No,No,Unknown
William KINCAID,5000-metres,male,USA,809.92,No,4.3988137e-05,Yes,No,No,No
Yuya YOSHIDA,5000-metres,male,JPN,809.93,No,4.3904318e-05,Yes,No,No,Unknown
Dylan JACOBS,5000-metres,male,USA,809.99,No,2.944703e-05,Yes,No,No,No
Denis KIPNGETICH,5000-metres,male,KEN,809.99,No,4.493266e-06,Yes,No,No,No
Yahya AOUINA EL KARBOUBI,5000-metres,male,ESP,809.99,No,6.204369e-05,Yes,No,No,Unknown
Bilith BOI,5000-metres,male,KEN,811.01,No,9.4048715e-05,Yes,No,No,Unknown
Bilith BOI,5000-metres,male,KEN,811.01,No,9.4048715e-05,Yes,No,No,Unknown
Willem RENDERS,5000-metres,male,BEL,811.12,No,0.00019731293,Yes,No,No,Unknown
James KARURI,5000-metres,male,KEN,811.38,No,9.4048715e-05,Yes,No,No,Unknown
Hosea CHEMUTAI,5000-metres,male,UGA,811.5,No,9.4048715e-05,Yes,No,No,Unknown
Ataklti KIDANU,5000-metres,male,ETH,811.64,No,7.01673e-05,Yes,No,No,Unknown
Assefa SISAY,5000-metres,male,ETH,811.82,No,0.00019731293,Yes,No,No,Unknown
Brian Muange MUSAU,5000-metres,male,KEN,812.05,No,9.4048715e-05,Yes,No,No,Unknown
Rui SUZUKI,5000-metres,male,JPN,812.34,No,9.4048715e-05,Yes,No,No,Unknown
Shumpei YAMAGUCHI,5000-metres,male,JPN,812.53,No,9.4048715e-05,Yes,No,No,Yes
Birhane MENGISTU,5000-metres,male,ETH,813.24,No,0.00019731293,Yes,No,No,Unknown
Caio BONFIM,20000-metres-race-walk,male,BRA,4717.9,No Model,,No Model,No,Yes,Yes
Matheus CORREA,20000-metres-race-walk,male,BRA,4794.7,No Model,,No Model,No,Yes,Yes
Max Batista GONCALVES DOS SANTOS,20000-metres-race-walk,male,BRA,4835.1,No Model,,No Model,No,No,Unknown
Kishane THOMPSON,100-metres,male,JAM,9.75,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.77,Yes,0.99996555,No,No,No,Yes
Kenneth BEDNAREK,100-metres,male,USA,9.79,Yes,0.99996555,No,No,No,Yes
Kishane THOMPSON,100-metres,male,JAM,9.8,Yes,0.99996555,No,No,No,Yes
Courtney LINDSEY,100-metres,male,USA,9.82,Yes,0.99996555,No,No,No,Yes
Kishane THOMPSON,100-metres,male,JAM,9.82,Yes,0.99996555,No,No,No,Yes
Bryan LEVELL,100-metres,male,JAM,9.82,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.83,Yes,0.99996555,No,No,No,Yes
T'Mars MCCALLUM,100-metres,male,USA,9.83,Yes,0.99996555,No,No,No,Yes
Trayvon BROMELL,100-metres,male,USA,9.84,Yes,0.99996555,No,No,No,No
Oblique SEVILLE,100-metres,male,JAM,9.84,Yes,0.99996555,No,No,No,Yes
Abdul-Rasheed SAMINU,100-metres,male,GHA,9.84,Yes,0.99996555,No,No,Yes,Yes
Trayvon BROMELL,100-metres,male,USA,9.84,Yes,0.99996555,No,No,No,No
Kenneth BEDNAREK,100-metres,male,USA,9.85,Yes,0.99996555,No,No,No,Yes
Kishane THOMPSON,100-metres,male,JAM,9.85,Yes,0.99996555,No,No,No,No
Kishane THOMPSON,100-metres,male,JAM,9.85,Yes,0.99996555,No,No,No,No
Abdul-Rasheed SAMINU,100-metres,male,GHA,9.86,Yes,0.99996555,No,No,Yes,Yes
Kenneth BEDNAREK,100-metres,male,USA,9.86,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.86,Yes,0.99996555,No,No,No,No
Oblique SEVILLE,100-metres,male,JAM,9.86,Yes,0.99996555,No,No,No,No
Christian COLEMAN,100-metres,male,USA,9.86,Yes,0.99996555,No,No,No,No
Kishane THOMPSON,100-metres,male,JAM,9.87,Yes,0.99996555,No,No,No,No
Gift LEOTLELA,100-metres,male,RSA,9.87,Yes,0.99996555,No,No,No,Yes
Eugene AMO-DADZIE,100-metres,male,GBR,9.87,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.87,Yes,0.99996555,No,No,No,No
Ackeem BLAKE,100-metres,male,JAM,9.88,Yes,0.99996555,No,No,No,Yes
Kishane THOMPSON,100-metres,male,JAM,9.88,Yes,0.99996555,No,No,No,No
Kayinsola AJAYI,100-metres,male,NGR,9.88,Yes,0.99996555,No,No,No,Yes
Noah LYLES,100-metres,male,USA,9.89,Yes,0.99996555,No,No,No,No
Akani SIMBINE,100-metres,male,RSA,9.9,Yes,0.99996555,No,No,No,No
Noah LYLES,100-metres,male,USA,9.9,Yes,0.99996555,No,No,No,No
Trayvon BROMELL,100-metres,male,USA,9.91,Yes,0.99996555,No,No,No,No
Zharnel HUGHES,100-metres,male,GBR,9.91,Yes,0.99996555,No,No,No,No
Kenneth BEDNAREK,100-metres,male,USA,9.92,Yes,0.99996555,No,No,No,No
Ronnie BAKER,100-metres,male,USA,9.92,Yes,0.99996555,No,No,No,No
Maurice GLEATON,100-metres,male,USA,9.92,Yes,0.99996555,No,No,No,Unknown
Kayinsola AJAYI,100-metres,male,NGR,9.92,Yes,0.99996555,No,No,No,Yes
Kayinsola AJAYI,100-metres,male,NGR,9.92,Yes,0.99996555,No,No,No,Yes
Noah LYLES,100-metres,male,USA,9.92,Yes,0.99996555,No,No,No,No
Maurice GLEATON,100-metres,male,USA,9.92,Yes,0.99996555,No,No,No,Unknown
Kayinsola AJAYI,100-metres,male,NGR,9.93,Yes,0.99996555,No,No,No,Yes
Erik CARDOSO,100-metres,male,BRA,9.93,Yes,0.99996555,No,No,Yes,Yes
Brandon HICKLIN,100-metres,male,USA,9.93,Yes,0.99996555,No,No,No,Yes
Brandon HICKLIN,100-metres,male,USA,9.93,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.93,Yes,0.99996555,No,No,No,No
Ronnie BAKER,100-metres,male,USA,9.94,Yes,0.99996555,No,No,No,No
Bayanda WALAZA,100-metres,male,RSA,9.94,Yes,0.99996555,No,No,No,Unknown
Bryan LEVELL,100-metres,male,JAM,9.94,Yes,0.99996555,No,No,No,Yes
Trayvon BROMELL,100-metres,male,USA,9.94,Yes,0.99996555,No,No,No,No
Kalen WALKER,100-metres,male,USA,9.94,Yes,0.99996555,No,No,No,Yes
Bayanda WALAZA,100-metres,male,RSA,9.94,Yes,0.99996555,No,No,No,Unknown
Letsile TEBOGO,100-metres,male,BOT,9.94,Yes,0.99996555,No,No,No,No
Jordan ANTHONY,100-metres,male,USA,9.95,Yes,0.99996555,No,No,No,Yes
Kenneth BEDNAREK,100-metres,male,USA,9.95,Yes,0.99996555,No,No,No,No
Kishane THOMPSON,100-metres,male,JAM,9.95,Yes,0.99996555,No,No,No,No
Jerome BLAKE,100-metres,male,CAN,9.95,Yes,0.99996555,No,No,No,Yes
Kayinsola AJAYI,100-metres,male,NGR,9.95,Yes,0.99996555,No,No,No,Yes
Eloy BENITEZ,100-metres,male,PUR,9.95,Yes,0.99996555,No,No,Yes,Unknown
Akani SIMBINE,100-metres,male,RSA,9.95,Yes,0.99996555,No,No,No,No
Kishane THOMPSON,100-metres,male,JAM,9.95,Yes,0.99996555,No,No,No,No
Noah LYLES,100-metres,male,USA,9.95,Yes,0.99996555,No,No,No,No
Gift LEOTLELA,100-metres,male,RSA,9.95,Yes,0.99996555,No,No,No,No
Akani SIMBINE,100-metres,male,RSA,9.96,Yes,0.99996555,No,No,No,No
Christian COLEMAN,100-metres,male,USA,9.96,Yes,0.99996555,No,No,No,No
Marcellus MOORE,100-metres,male,USA,9.96,Yes,0.99996555,No,No,No,Yes
Ronal LONGA,100-metres,male,COL,9.96,Yes,0.99996555,No,No,Yes,Yes
Kenneth BEDNAREK,100-metres,male,USA,9.96,Yes,0.99996555,No,No,No,No
Ackeem BLAKE,100-metres,male,JAM,9.96,Yes,0.99996555,No,No,No,No
Kayinsola AJAYI,100-metres,male,NGR,9.96,Yes,0.99996555,No,No,No,Yes
Gift LEOTLELA,100-metres,male,RSA,9.97,Yes,0.99996555,No,No,No,No
Christian COLEMAN,100-metres,male,USA,9.97,Yes,0.99996555,No,No,No,No
Jeremiah AZU,100-metres,male,GBR,9.97,Yes,0.99996555,No,No,No,Yes
Trayvon BROMELL,100-metres,male,USA,9.97,Yes,0.99996555,No,No,No,No
Jerome BLAKE,100-metres,male,CAN,9.97,Yes,0.99996555,No,No,No,Yes
Oblique SEVILLE,100-metres,male,JAM,9.97,Yes,0.99996555,No,No,No,No
Courtney LINDSEY,100-metres,male,USA,9.97,Yes,0.99996555,No,No,No,No
Jordan ANTHONY,100-metres,male,USA,9.98,Yes,0.99996555,No,No,No,Yes
Akani SIMBINE,100-metres,male,RSA,9.98,Yes,0.99996555,No,No,No,No
Fred KERLEY,100-metres,male,USA,9.98,Yes,0.99996555,No,No,No,No
Benjamin AZAMATI,100-metres,male,GHA,9.98,Yes,0.99996555,No,No,No,No
Lachlan KENNEDY,100-metres,male,AUS,9.98,Yes,0.99996555,No,No,No,Yes
Gift LEOTLELA,100-metres,male,RSA,9.98,Yes,0.99996555,No,No,No,No
Ryiem FORDE,100-metres,male,JAM,9.98,Yes,0.99996555,No,No,No,No
Brandon HICKLIN,100-metres,male,USA,9.98,Yes,0.99996555,No,No,No,Yes
Ryiem FORDE,100-metres,male,JAM,9.98,Yes,0.99996555,No,No,No,No
Davonte HOWELL,100-metres,male,CAY,9.98,Yes,0.99996555,No,No,No,Yes
Akani SIMBINE,100-metres,male,RSA,9.98,Yes,0.99996555,No,No,No,No
Eugene AMO-DADZIE,100-metres,male,GBR,9.99,Yes,0.99996555,No,No,No,No
Yoshihide KIRYU,100-metres,male,JPN,9.99,Yes,0.99996555,No,No,No,No
T'Mars MCCALLUM,100-metres,male,USA,9.99,Yes,0.99996555,No,No,No,Yes
Felipe BARDI,100-metres,male,BRA,9.99,Yes,0.99996555,No,No,No,No
Gift LEOTLELA,100-metres,male,RSA,9.99,Yes,0.99996555,No,No,No,No
Bayanda WALAZA,100-metres,male,RSA,9.99,Yes,0.99996555,No,No,No,Unknown
Ackeem BLAKE,100-metres,male,JAM,9.99,Yes,0.99996555,No,No,No,No
Kishane THOMPSON,100-metres,male,JAM,9.99,Yes,0.99996555,No,No,No,No
Akani SIMBINE,100-metres,male,RSA,9.99,Yes,0.99996555,No,No,No,No
Bayanda WALAZA,100-metres,male,RSA,9.99,Yes,0.99996555,No,No,No,Unknown
Erik CARDOSO,100-metres,male,BRA,9.99,Yes,0.99996555,No,No,No,No
Retshidisitswe MLENGA,100-metres,male,RSA,9.99,Yes,0.99996555,No,No,No,Yes
Bryan LEVELL,100-metres,male,JAM,9.99,Yes,0.99996555,No,No,No,Yes
Emmanuel ESEME,100-metres,male,CMR,9.99,Yes,0.99996555,No,No,No,No
Ferdinand OMANYALA,100-metres,male,KEN,10.0,Yes,0.99996555,No,No,No,No
Bayanda WALAZA,100-metres,male,RSA,10.0,Yes,0.99996555,No,No,No,Unknown
Bayanda WALAZA,100-metres,male,RSA,10.0,Yes,0.99996555,No,No,No,Unknown
Romell GLAVE,100-metres,male,GBR,10.0,Yes,0.99996555,No,No,No,Yes
Lucas ANSAH-PEPRAH,100-metres,male,GER,10.0,Yes,0.99996555,No,No,Yes,Yes
Rohan WATSON,100-metres,male,JAM,10.0,Yes,0.99996555,No,No,No,No
Carlos FLOREZ ANGULO,100-metres,male,COL,10.0,Yes,0.99996555,No,No,No,Yes
Noah LYLES,100-metres,male,USA,10.0,Yes,0.99996555,No,No,No,No
Sorato SHIMIZU,100-metres,male,JPN,10.0,Yes,0.99996555,No,No,No,Unknown
Bayanda WALAZA,100-metres,male,RSA,10.0,Yes,0.99996555,No,No,No,Unknown
Bayanda WALAZA,100-metres,male,RSA,10.0,Yes,0.99996555,No,No,No,Unknown
Sorato SHIMIZU,100-metres,male,JPN,10.0,Yes,0.99996555,No,No,No,Unknown
Lachlan KENNEDY,100-metres,male,AUS,10.0,Yes,0.99996555,No,No,No,Yes
Yuhi MORI,100-metres,male,JPN,10.0,Yes,0.99996555,No,No,No,Yes
Hiroki YANAGITA,100-metres,male,JPN,10.0,Yes,0.99996555,No,No,No,Yes
Eugene AMO-DADZIE,100-metres,male,GBR,10.0,Yes,0.99996555,No,No,No,No
Romell GLAVE,100-metres,male,GBR,10.0,Yes,0.99996555,No,No,No,Yes
Kayinsola AJAYI,100-metres,male,NGR,10.0,Yes,0.99996555,No,No,No,Yes
Sorato SHIMIZU,100-metres,male,JPN,10.0,Yes,0.99996555,No,No,No,Unknown
Rohan BROWNING,100-metres,male,AUS,10.01,No,3.4451332e-05,Yes,No,No,No
Kenneth BEDNAREK,100-metres,male,USA,10.01,No,3.4451332e-05,Yes,No,No,No
Ryiem FORDE,100-metres,male,JAM,10.01,No,3.4451332e-05,Yes,No,No,No
Abdul-Rasheed SAMINU,100-metres,male,GHA,10.01,No,3.4451332e-05,Yes,No,No,Yes
Akani SIMBINE,100-metres,male,RSA,10.01,No,3.4451332e-05,Yes,No,No,No
T'Mars MCCALLUM,100-metres,male,USA,10.01,No,3.4451332e-05,Yes,No,No,Yes
Jerome BLAKE,100-metres,male,CAN,10.01,No,3.4451332e-05,Yes,No,No,No
Romell GLAVE,100-metres,male,GBR,10.01,No,3.4451332e-05,Yes,No,No,Yes
Benjamin RICHARDSON,100-metres,male,RSA,10.01,No,3.4451332e-05,Yes,No,No,Yes
Kayinsola AJAYI,100-metres,male,NGR,10.01,No,3.4451332e-05,Yes,No,No,Yes
Sunday AKINTAN,100-metres,male,NGR,10.01,No,3.4451332e-05,Yes,No,No,Yes
David NYAMUFARIRA,100-metres,male,ZIM,10.01,No,3.4451332e-05,Yes,No,No,Unknown
Lachlan KENNEDY,100-metres,male,AUS,10.01,No,3.4451332e-05,Yes,No,No,Yes
Benjamin RICHARDSON,100-metres,male,RSA,10.01,No,3.4451332e-05,Yes,No,No,Yes
Ferdinand OMANYALA,100-metres,male,KEN,10.01,No,3.4451332e-05,Yes,No,No,No
Jelani WATKINS,100-metres,male,USA,10.01,No,3.4451332e-05,Yes,No,No,Unknown
Jaiden REID,100-metres,male,CAY,10.02,No,3.4451332e-05,Yes,No,No,Yes
Bryan LEVELL,100-metres,male,JAM,10.02,No,3.4451332e-05,Yes,No,No,Yes
Jelani WATKINS,100-metres,male,USA,10.02,No,3.4451332e-05,Yes,No,No,Unknown
David NYAMUFARIRA,100-metres,male,ZIM,10.02,No,3.4451332e-05,Yes,No,No,Unknown
