competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Thierry NDIKUMWENAYO,5-kilometres,male,ESP,788.0,Yes,0.9991731,No,No,Yes,Yes
Mohamed ISMAIL,5-kilometres,male,DJI,790.0,Yes,0.9991731,No,No,Yes,Unknown
Cornelius KEMBOI,5-kilometres,male,KEN,791.0,Yes,0.9991731,No,No,No,No
Samwel Nyamai MAILU,5-kilometres,male,KEN,791.0,Yes,0.9991731,No,No,No,No
Maxime CHAUMETON,5-kilometres,male,RSA,793.0,Yes,0.9991731,No,No,Yes,Yes
Isaac KIMELI,5-kilometres,male,BEL,795.0,Yes,0.9991731,No,No,Yes,Unknown
Brian KIPYEGON,5-kilometres,male,KEN,797.0,No,0.00082689326,Yes,No,No,Unknown
Muse GIZACHEW,5-kilometres,male,ETH,798.0,No,0.00082689326,Yes,No,No,Unknown
Samuel FIREWU,5-kilometres,male,ETH,801.0,No,0.00082689326,Yes,No,No,Yes
Frederik RUPPERT,5-kilometres,male,GER,801.0,No,0.00082689326,Yes,No,Yes,Yes
Jacob KROP,5-kilometres,male,KEN,802.0,No,0.00082689326,Yes,No,No,No
Djilali BEDRANI,5-kilometres,male,FRA,802.0,No,0.00082689326,Yes,No,No,Yes
Gemechu TOLOSA,5-kilometres,male,ETH,804.0,No,0.00082689326,Yes,No,No,Unknown
Sam ATKIN,5-kilometres,male,GBR,804.0,No,0.00082689326,Yes,No,No,No
Ataklti KIDANU,5-kilometres,male,ETH,804.0,No,0.00082689326,Yes,No,No,Unknown
Sewmehon ANTENEH,5-kilometres,male,ETH,804.0,No,0.00082689326,Yes,No,No,Unknown
Ybeltal GASHAHUN,5-kilometres,male,ETH,805.0,No,0.00082689326,Yes,No,No,Unknown
Adehena KASAYE,5-kilometres,male,ETH,805.0,No,0.00082689326,Yes,No,No,Unknown
Mike FOPPEN,5-kilometres,male,NED,806.0,No,0.00082689326,Yes,No,Yes,Yes
Matthew Kipkoech KIPRUTO,5-kilometres,male,KEN,807.0,No,0.00082689326,Yes,No,No,No
Daniel KIMAIYO,5-kilometres,male,KEN,807.0,No,0.00082689326,Yes,No,No,Unknown
Emmanuel KIBET,5-kilometres,male,KEN,807.0,No,0.00082689326,Yes,No,No,Unknown
Andrew HUNTER,5-kilometres,male,USA,808.0,No,0.00082689326,Yes,No,No,Yes
Daniel KIMAIYO,5-kilometres,male,KEN,808.0,No,0.00082689326,Yes,No,No,Unknown
Abdisa FAYISA,5-kilometres,male,ETH,808.0,No,0.00082689326,Yes,No,No,No
Jenberu SISAY,5-kilometres,male,ETH,808.0,No,0.00082689326,Yes,No,No,Unknown
Dawit SEARE,5-kilometres,male,ERI,809.0,No,0.00082689326,Yes,No,No,No
Samuel Simba CHEROP,5-kilometres,male,UGA,809.0,No,0.00082689326,Yes,No,No,Unknown
Tomoki OTA,5-kilometres,male,JPN,810.0,No,0.00082689326,Yes,No,Yes,Unknown
Will BARNICOAT,5-kilometres,male,GBR,810.0,No,0.00082689326,Yes,No,No,Unknown
Addisu YIHUNE,5-kilometres,male,ETH,810.0,No,0.00082689326,Yes,No,No,No
Levy KIBET,5-kilometres,male,KEN,812.0,No,0.00082689326,Yes,No,No,No
Aron GEBREMARIAM,5-kilometres,male,ERI,812.0,No,0.00082689326,Yes,No,No,Unknown
Brian BARRAZA,5-kilometres,male,USA,812.0,No,0.00082689326,Yes,No,No,Yes
Olin HACKER,5-kilometres,male,USA,812.0,No,0.00082689326,Yes,No,No,No
Shimelis NIGUSSE,5-kilometres,male,ETH,813.0,No,0.00082689326,Yes,No,No,Unknown
Urgessa NEGASSA,5-kilometres,male,ETH,813.0,No,0.00082689326,Yes,No,No,Unknown
Darragh MCELHINNEY,5-kilometres,male,IRL,813.0,No,0.00082689326,Yes,No,No,Unknown
Dawit SEARE,5-kilometres,male,ERI,813.0,No,0.00082689326,Yes,No,No,No
Amos Kipkurui LANGAT,5-kilometres,male,KEN,813.0,No,0.00082689326,Yes,No,No,Unknown
Ararso NEGASA,5-kilometres,male,ETH,814.0,No,0.00082689326,Yes,No,No,Unknown
Jack KAVANAGH,5-kilometres,male,GBR,814.0,No,0.00082689326,Yes,No,No,Unknown
Osian PERRIN,5-kilometres,male,GBR,814.0,No,0.00082689326,Yes,No,No,Unknown
Casey CLINGER,5-kilometres,male,USA,814.0,No,0.00082689326,Yes,No,No,Unknown
James HANSEN,5-kilometres,male,AUS,814.0,No,0.00082689326,Yes,No,No,Unknown
Samuel Simba CHEROP,5-kilometres,male,UGA,815.0,No,0.00082689326,Yes,No,No,Unknown
Patrick DEVER,5-kilometres,male,GBR,815.0,No,0.00082689326,Yes,No,No,Unknown
Ellis CROSS,5-kilometres,male,GBR,815.0,No,0.00082689326,Yes,No,No,Unknown
Clinton Kimutai NGETICH,5-kilometres,male,KEN,816.0,No,0.00082689326,Yes,No,No,Unknown
Callum ELSON,5-kilometres,male,GBR,816.0,No,0.00082689326,Yes,No,No,Unknown
Djilali BEDRANI,5-kilometres,male,FRA,816.0,No,0.00082689326,Yes,No,No,Yes
Amon KEMBOI,5-kilometres,male,KEN,817.0,No,0.00082689326,Yes,No,No,Unknown
Luc LE BARON,5-kilometres,male,FRA,817.0,No,0.00082689326,Yes,No,No,Unknown
Ahmed MUHUMED,5-kilometres,male,USA,817.0,No,0.00082689326,Yes,No,No,No
Simon MAIYWA,5-kilometres,male,KEN,817.0,No,0.00082689326,Yes,No,No,Unknown
William BATTERSHILL,5-kilometres,male,GBR,818.0,No,0.00082689326,Yes,No,No,Unknown
Wegene ADISU,5-kilometres,male,ETH,818.0,No,0.00082689326,Yes,No,No,No
Brett RUSHMAN,5-kilometres,male,GBR,818.0,No,0.00082689326,Yes,No,No,Unknown
Charles ROTICH,5-kilometres,male,KEN,819.0,No,0.00082689326,Yes,No,No,Unknown
Artūrs Niklāvs MEDVEDS,5-kilometres,male,LAT,820.0,No,0.00082689326,Yes,No,Unknown,Unknown
